,v,vw,o,c,h,l,t,n
309,55685645.0,178.0349,179.96,179.59,181.23,175.4,1711512000000.0,469617.0
310,57309514.0,181.1994,179.47,180.49,183.4,178.3,1711598400000.0,457669.0
311,74299905.0,183.5875,180.1,183.34,187.24,179.9,1711944000000.0,582868.0
312,61592517.00000001,176.8444,179.47,178.7,180.1,174.83,1712030400000.0,533493.0
313,49835063.99999999,180.6832,177.54,180.77,182.05,176.7,1712116800000.0,426058.0
314,88222257.0,173.6889,182.92,165.83,183.02,165.65,1712203200000.0,785550.0
315,66054391.0,170.3164,168.1,170.42,172.69,165.58,1712289600000.0,587120.0
316,43997545.99999999,169.6283,168.2,169.9,171.6599,166.82,1712548800000.0,423551.0
317,42927985.0,169.3961,170.21,170.78,171.6,167.29,1712635200000.0,399563.0
318,59588458.0,166.5412,166.71,167.14,169.7752,164.0,1712721600000.0,560172.0
319,48989931.0,169.3341,167.545,170.5,170.9499,166.5492,1712808000000.0,431700.0
320,63519643.0,163.4995,164.53,163.28,165.7,161.825,1712894400000.0,585381.0
321,60846810.0,161.5913,164.43,160.32,164.44,158.76,1713153600000.0,543784.0
322,55064475.99999999,163.3181,162.28,163.46,164.8799,161.67,1713240000000.0,504371.0
323,75591335.0,157.7128,163.97,154.02,164.45,153.88,1713326400000.0,646706.0
324,52582491.00000001,155.0038,155.51,155.08,156.96,152.32,1713412800000.0,513790.0
325,71144123.0,149.167,151.59,146.64,154.25,145.29,1713499200000.0,677589.0
326,48790241.0,147.8806,148.15,148.64,149.89,145.63,1713758400000.0,416732.0
